"CAREF","CANO","CACOMP","CACURREF","CANAME","CAADD","CACUST","CAVATNUM","CANOVAT","CASALEREP","CASUPP","CAVATREQ","CALNGREF","CACNTRREF","CATRANS","CACUSTTYPE","CADUNS","CATAXID","CABSCC","CACREDCSTAT","CAINTSTAT","CAMPRTNAME","CAMPRTNACE","CAMEMPNUM","CAMPRTTURN","CACUSTSTAT","CAACTION"
"1291501","1291501","NLAAT","EUR","PCH PARKING & FACILITY SERVICES B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","489926634","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1291532","1291532","NLAAT","EUR","SHIRE INTERNATIONAL LICENSING B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","413363557","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1291628","1291628","NLAAT","EUR","MPS LOUWMAN AMSTERDAM WEST","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","411661507","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1291629","1291629","NLAAT","EUR","MPS LANDPORT B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","402159516","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1291745","1291745","NLAAT","EUR","THYSSENKRUPP MATERIALS NEDERLAND B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","406667642","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1291778","1291778","NLAAT","EUR","V.O.F. NIJMAN","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","490519320","0","150","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1291789","1291789","NLAAT","EUR","INGENIEURSBUREAU WOUTERS","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","404271538","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1291892","1291892","NLAAT","EUR","POPPIES NEDERLAND B.V.","-","1","NL1253234","0","0","0","0","en","NL","0","CustomerType.Party","387478654","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1291938","1291938","NLAAT","EUR","SCHEUTEN SOLAR SOLUTIONS B.V.","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","490501055","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
"1292072","1292072","NLAAT","EUR","PERSONENVERVOER VAN DER WIJST","-","1","","0","0","0","0","en","NL","0","CustomerType.Party","406207634","0","300","CreditCheckStatus.Trade","Partner.MDMMastered","","","","","PartnerCustomerStatus.Approved","INSERT"
